ID,Region,District,Longitude,Latitude
1,Magway Region,Gangaw District,94.3414056,22.1354238
1,Magway Region,Gangaw District,94.3421569,22.1299371
1,Magway Region,Gangaw District,94.3504133,22.1277058
1,Magway Region,Gangaw District,94.355992,22.1236891
1,Magway Region,Gangaw District,94.3577773,22.1187797
1,Magway Region,Gangaw District,94.3604551,22.1169945
1,Magway Region,Gangaw District,94.3658651,22.119951
1,Magway Region,Gangaw District,94.3702733,22.1243588
1,Magway Region,Gangaw District,94.3735938,22.1214046
1,Magway Region,Gangaw District,94.3740632,22.1223126
1,Magway Region,Gangaw District,94.3762984,22.1183337
1,Magway Region,Gangaw District,94.3814307,22.117218
1,Magway Region,Gangaw District,94.3844258,22.1197404
1,Magway Region,Gangaw District,94.3896041,22.1198063
1,Magway Region,Gangaw District,94.3972739,22.1234667
1,Magway Region,Gangaw District,94.4024061,22.1294919
1,Magway Region,Gangaw District,94.4095467,22.1312773
1,Magway Region,Gangaw District,94.4124475,22.1359636
1,Magway Region,Gangaw District,94.4166873,22.1366331
1,Magway Region,Gangaw District,94.4184725,22.1299385
1,Magway Region,Gangaw District,94.4202578,22.1243597
1,Magway Region,Gangaw District,94.4249754,22.1081613
1,Magway Region,Gangaw District,94.4246902,22.1035978
1,Magway Region,Gangaw District,94.4198414,22.0930446
1,Magway Region,Gangaw District,94.4218381,22.077928
1,Magway Region,Gangaw District,94.4321059,22.0668044
1,Magway Region,Gangaw District,94.4352433,22.0596739
1,Magway Region,Gangaw District,94.4341024,22.0542547
1,Magway Region,Gangaw District,94.4355285,22.0488356
1,Magway Region,Gangaw District,94.4352433,22.0434164
1,Magway Region,Gangaw District,94.4354112,22.0346316
1,Magway Region,Gangaw District,94.4349459,22.0332734
1,Magway Region,Gangaw District,94.4325463,22.0318887
1,Magway Region,Gangaw District,94.4262672,22.0309047
1,Magway Region,Gangaw District,94.4228913,22.0299588
1,Magway Region,Gangaw District,94.4190727,22.0263003
1,Magway Region,Gangaw District,94.4176844,22.0217685
1,Magway Region,Gangaw District,94.4167381,22.0204028
1,Magway Region,Gangaw District,94.4084637,22.0008744
1,Magway Region,Gangaw District,94.4082965,21.9938451
1,Magway Region,Gangaw District,94.4096355,21.9878199
1,Magway Region,Gangaw District,94.4146563,21.9816275
1,Magway Region,Gangaw District,94.4159953,21.9776107
1,Magway Region,Gangaw District,94.41951,21.9719203
1,Magway Region,Gangaw District,94.4248656,21.9658953
